# simulated random data file for batch processing
# timestamp: 2018-03-28 17:50:17
# KER
# _____________________________________________

"varX","varY"
0.930838166968897,NA
0.190677400445566,0.392697172239423
0.356689569307491,0.529397666454315
0.151958272326738,NA
0.991402289597318,0.105829592328519
0.777825439581648,0.115604688646272
0.334736580261961,0.647816787473857
0.440137811237946,0.108304731315002
0.258519836934283,0.733289659256116
NA,0.631676384015009
NA,0.320915108080953
0.658839281648397,0.189099438255653
NA,0.556278553092852
NA,0.963196974713355
0.795523741515353,0.766006512800232
0.462217806605622,0.167509702499956
0.704289853107184,NA
NA,0.918914059409872
NA,NA
0.692301776260138,NA
0.880060723284259,0.621747427387163
NA,0.804941126378253
0.76131625357084,0.384985727723688
NA,0.850475580431521
0.521008493145928,NA
NA,0.718565901508555
0.361900940304622,NA
0.752457855734974,0.411359376739711
0.281722617102787,0.664997298270464
0.713162356521934,NA
0.0863897979725152,0.863446045434102
0.399181706365198,NA
0.550512039102614,0.81002724613063
0.808530462440103,0.628184212138876
0.489837654400617,NA
0.0150866259355098,0.488300848286599
NA,0.865180272841826
0.334049638127908,0.0702160475775599
NA,NA
NA,0.702856177231297
0.222237854730338,NA
