# simulated random data file for batch processing
# timestamp: 2018-03-28 17:50:17
# KER
# _____________________________________________

"varX","varY"
0.687352558830753,0.851669773692265
0.79427494504489,0.370162572711706
0.0921896372456104,NA
0.45851138769649,0.450926834717393
NA,0.559179608011618
0.397267693886533,0.852566883666441
0.282481809845194,0.825467806309462
NA,NA
0.458044882398099,NA
NA,0.197812972590327
NA,0.452127174008638
0.888532633893192,NA
0.982653880026191,NA
NA,NA
0.157193710794672,0.649799080332741
NA,0.252035242505372
0.477661459939554,0.0628706470597535
0.40423390828073,0.958734845276922
0.984478466911241,NA
NA,NA
0.0333048435859382,0.0316876438446343
0.894064049003646,NA
0.610450670355931,0.773002964211628
NA,NA
0.819448426831514,0.366987003246322
NA,0.178138085175306
NA,0.971702590351924
